 
2 -20.44016800  057.69083300      0   343 300    0.0 MS   PLAISANCE NDB
2 -20.28161200  057.37172200      0   258 100    0.0 FF   FLIC EN FLAC NDB
2 -20.89275000  055.52619400      0   382 400    0.0 FXR  LA REUNION-ROLAND-GARSOS NDB
2 -21.27755600  055.36225000      0   352  75    0.0 SP   ST PIERRE PIERREFD NDB
3 -20.42002800  057.66233300    488 11370 300  -17.0 PLS  PLAISANCE VOR-DME
3 -20.01472300  057.60136100    294 11480  25  -19.0 GBY  GRAND BAY VOR-DME
3 -20.88483300  055.50980600     57 11290 130  -18.0 SDG  ST DENIS VOR-DME
3 -21.31641700  055.41716700     52 11590  40  -20.0 PRF  ST PIERRE PIERREFONDS VOR-DME
4 -20.43833300  057.70000000    186 10990  18     117.517 IPL  FIMP 14  ILS-cat-I
6 -20.42500000  057.67500000    184 10990  10  350117.216 IPL  FIMP 14  GS
7 -20.39419400  057.60877800    186     0   0     117.216 ---- FIMP 14  OM
8 -20.42027800  057.66291700    186     0   0     117.216 ---- FIMP 14  MM
12 -20.42487200  057.67513300    186 10990  18       0.200 IPL  FIMP 14  DME-ILS
12 -20.42002800  057.66233300    488 11370 300    0.0 PLS  PLAISANCE VOR-DME
12 -20.01472300  057.60136100    294 11480  25    0.0 GBY  GRAND BAY VOR-DME
12 -20.88483300  055.50980600     57 11290 130    0.0 SDG  ST DENIS VOR-DME
12 -21.31641700  055.41716700     52 11590  40    0.0 PRF  ST PIERRE PIERREFONDS VOR-DME
99
